('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         765117 function calls (740712 primitive calls) in 2.025 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1356    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
 1291/198    0.011    0.000    0.137    0.001 _parser.py:451(_parse_sub)
     1095    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1058    0.002    0.000    0.003    0.000 _parser.py:311(_class_escape)
     1018    0.001    0.000    0.003    0.000 _compiler.py:401(_simple)
     1007    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      959    0.024    0.000    0.024    0.000 {built-in method posix.stat}
      956    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      950    0.001    0.000    0.002    0.000 _parser.py:448(_uniq)
      929    0.001    0.000    0.001    0.000 typing.py:1294(_is_dunder)
      912    0.002    0.000    0.003    0.000 _compiler.py:214(_compile_charset)
      912    0.012    0.000    0.018    0.000 _compiler.py:241(_optimize_charset)
      885    0.001    0.000    0.001    0.000 enum.py:1585(_get_value)
      873    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      873    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      814    0.001    0.000    0.002    0.000 _parser.py:371(_escape)
      799    0.001    0.000    0.002    0.000 typing.py:1368(__setattr__)
      775    0.000    0.000    0.001    0.000 _parser.py:82(groups)
      756    0.004    0.000    0.010    0.000 {method 'sub' of 're.Pattern' objects}
      752    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
  709/652    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      672    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      582    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      581    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      551    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
  541/536    0.018    0.000    0.108    0.000 {built-in method builtins.__build_class__}
      540    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      526    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      514    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      502    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      488    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      488    0.006    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      472    0.004    0.000    0.006    0.000 css_types.py:41(__init__)
    465/8    0.001    0.000    0.534    0.067 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      428    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      415    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      412    0.001    0.000    0.001    0.000 _parser.py:264(getwhile)
      396    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      371    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
      360    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
