('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         667042 function calls (646267 primitive calls) in 2.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7256    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     5656    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      325    0.002    0.000    0.008    0.000 css_parser.py:1094(selector_iter)
     8863    0.002    0.000    0.002    0.000 typing.py:2371(cast)
     3166    0.002    0.000    0.002    0.000 _parser.py:292(tell)
     4687    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      287    0.002    0.000    1.055    0.004 socket.py:706(readinto)
     5381    0.002    0.000    0.002    0.000 _parser.py:112(__init__)
     3106    0.002    0.000    0.010    0.000 {built-in method builtins.next}
     1823    0.002    0.000    0.003    0.000 filter.py:623(_match_attribute_value_helper)
      114    0.002    0.000    0.025    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       87    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
     2703    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      980    0.001    0.000    0.003    0.000 _parser.py:311(_class_escape)
      564    0.001    0.000    0.002    0.000 _compiler.py:214(_compile_charset)
       51    0.001    0.000    0.889    0.017 {method 'readline' of '_io.BufferedReader' objects}
    115/5    0.001    0.000    0.385    0.077 <frozen importlib._bootstrap>:1349(_find_and_load)
     2799    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      145    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
    52/14    0.001    0.000    0.027    0.002 css_parser.py:911(parse_selectors)
     2481    0.001    0.000    0.004    0.000 css_parser.py:307(match)
      155    0.001    0.000    0.014    0.000 _compiler.py:514(_compile_info)
     2584    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     2804    0.001    0.000    0.001    0.000 element.py:2763(descendants)
      140    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
     2360    0.001    0.000    0.002    0.000 filter.py:292(matches_string)
      106    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
     3723    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      907    0.001    0.000    0.002    0.000 _parser.py:171(__setitem__)
     2703    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     3944    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        9    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      155    0.001    0.000    0.187    0.001 _compiler.py:743(compile)
      287    0.001    0.000    1.049    0.004 ssl.py:1129(read)
       10    0.001    0.000    0.006    0.001 enum.py:894(_convert_)
      672    0.001    0.000    0.002    0.000 _parser.py:371(_escape)
     2949    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      174    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
     2702    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
       77    0.001    0.000    0.008    0.000 css_parser.py:462(parse_attribute_selector)
     2498    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      686    0.001    0.000    0.001    0.000 _parser.py:448(_uniq)
     4147    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
     2554    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
     88/1    0.001    0.000    2.028    2.028 {built-in method builtins.exec}
        9    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      112    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      110    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      576    0.001    0.000    0.002    0.000 typing.py:1368(__setattr__)
     1532    0.001    0.000    0.001    0.000 element.py:2160(get)
       11    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      140    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     2112    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
    110/6    0.001    0.000    0.383    0.064 <frozen importlib._bootstrap>:911(_load_unlocked)
      155    0.001    0.000    0.110    0.001 _parser.py:970(parse)
      144    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      140    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      165    0.001    0.000    0.002    0.000 typing.py:173(_type_check)
     2531    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
        9    0.001    0.000    0.002    0.000 __init__.py:358(namedtuple)
    115/5    0.001    0.000    0.385    0.077 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     1562    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     2360    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
      155    0.001    0.000    0.002    0.000 enum.py:1603(__and__)
      136    0.001    0.000    0.001    0.000 css_parser.py:359(__init__)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      287    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      732    0.001    0.000    0.001    0.000 enum.py:1585(_get_value)
      725    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      287    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       87    0.001    0.000    0.003    0.000 typing.py:1423(__init__)
      300    0.001    0.000    0.001    0.000 enum.py:825(__setattr__)
      412    0.001    0.000    0.001    0.000 _parser.py:264(getwhile)
      108    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      140    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       10    0.001    0.000    0.001    0.000 request.py:408(add_handler)
      592    0.001    0.000    0.002    0.000 _compiler.py:401(_simple)
      674    0.001    0.000    0.001    0.000 typing.py:1294(_is_dunder)
  136/131    0.001    0.000    0.006    0.000 css_parser.py:385(freeze)
     1216    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     87/6    0.000    0.000    0.383    0.064 <frozen importlib._bootstrap_external>:1020(exec_module)
       12    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
       57    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
      120    0.000    0.000    0.004    0.000 _markupbase.py:165(parse_comment)
  647/608    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        1    0.000    0.000    0.010    0.010 gzip.py:600(decompress)
      155    0.000    0.000    0.075    0.000 _compiler.py:576(_code)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
  179/146    0.000    0.000    0.001    0.000 _compiler.py:439(_get_literal_prefix)
     1428    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       10    0.000    0.000    0.697    0.070 __init__.py:1(<module>)
      645    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      288    0.000    0.000    0.000    0.000 socket.py:744(readable)
      155    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      728    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    2.028    2.028 financial_enhanced.py:1(<module>)
  110/107    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.054    0.054 client.py:213(_read_headers)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      136    0.000    0.000    0.004    0.000 css_types.py:203(__init__)
