('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         763004 function calls (738593 primitive calls) in 2.647 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1459    0.003    0.000    0.013    0.000 filter.py:538(matches_tag)
    170/1    0.003    0.000    2.647    2.647 {built-in method builtins.exec}
       17    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
      336    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
     1459    0.003    0.000    0.008    0.000 filter.py:612(_attribute_match)
    222/4    0.003    0.000    0.974    0.243 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     4360    0.003    0.000    0.004    0.000 _parser.py:292(tell)
     9216    0.003    0.000    0.003    0.000 {built-in method builtins.ord}
      273    0.003    0.000    0.003    0.000 _compiler.py:389(_mk_bitmap)
      216    0.003    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
        1    0.003    0.003    0.021    0.021 filter.py:129(filter)
     2593    0.003    0.000    0.005    0.000 _htmlparser.py:222(handle_data)
      196    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      912    0.002    0.000    0.004    0.000 _compiler.py:214(_compile_charset)
      263    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__new__)
       14    0.002    0.000    0.167    0.012 {method 'join' of 'bytes' objects}
      287    0.002    0.000    0.009    0.000 typing.py:173(_type_check)
     2806    0.002    0.000    0.016    0.000 filter.py:717(match)
     5465    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
     5838    0.002    0.000    0.012    0.000 __init__.py:122(unescape)
    465/8    0.002    0.000    0.956    0.120 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     6234    0.002    0.000    0.002    0.000 _parser.py:112(__init__)
      198    0.002    0.000    0.018    0.000 _compiler.py:514(_compile_info)
     5913    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
    196/4    0.002    0.000    0.972    0.243 <frozen importlib._bootstrap>:911(_load_unlocked)
      168    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
       17    0.002    0.000    0.006    0.000 __init__.py:358(namedtuple)
      263    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
     2672    0.002    0.000    0.003    0.000 element.py:1812(is_empty_element)
      263    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2470    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      799    0.002    0.000    0.004    0.000 typing.py:1368(__setattr__)
      198    0.002    0.000    0.282    0.001 _compiler.py:743(compile)
    168/4    0.002    0.000    0.972    0.243 <frozen importlib._bootstrap_external>:1020(exec_module)
      121    0.002    0.000    0.008    0.000 typing.py:1423(__init__)
     4260    0.002    0.000    0.003    0.000 {built-in method builtins.max}
      292    0.002    0.000    1.099    0.004 ssl.py:1289(recv_into)
      325    0.002    0.000    0.008    0.000 css_parser.py:1094(selector_iter)
      192    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       39    0.002    0.000    0.014    0.000 response.py:122(decompress)
       22    0.002    0.000    2.275    0.103 __init__.py:1(<module>)
     2716    0.002    0.000    0.003    0.000 __init__.py:1065(handle_data)
      263    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:79(__init__)
     8827    0.002    0.000    0.002    0.000 typing.py:2371(cast)
     1058    0.002    0.000    0.003    0.000 _parser.py:311(_class_escape)
      251    0.002    0.000    0.002    0.000 {built-in method builtins.any}
       85    0.002    0.000    0.002    0.000 {built-in method _imp.source_hash}
     3139    0.002    0.000    0.011    0.000 {built-in method builtins.next}
      336    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     3748    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
     1843    0.002    0.000    0.004    0.000 filter.py:623(_match_attribute_value_helper)
     1376    0.002    0.000    0.003    0.000 _parser.py:171(__setitem__)
      198    0.002    0.000    0.164    0.001 _parser.py:970(parse)
      950    0.001    0.000    0.002    0.000 _parser.py:448(_uniq)
     1521    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      292    0.001    0.000    1.102    0.004 socket.py:706(readinto)
       10    0.001    0.000    0.009    0.001 enum.py:894(_convert_)
     2665    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2673    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      814    0.001    0.000    0.002    0.000 _parser.py:371(_escape)
    52/14    0.001    0.000    0.028    0.002 css_parser.py:911(parse_selectors)
     2893    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
     3822    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1095    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     2481    0.001    0.000    0.004    0.000 css_parser.py:307(match)
     1578    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
      196    0.001    0.000    0.003    0.000 enum.py:1603(__and__)
     2391    0.001    0.000    0.002    0.000 filter.py:292(matches_string)
     2562    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      956    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
  196/192    0.001    0.000    0.080    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      929    0.001    0.000    0.002    0.000 typing.py:1294(_is_dunder)
      192    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
     3122    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1007    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      263    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:162(__enter__)
      885    0.001    0.000    0.002    0.000 enum.py:1585(_get_value)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      334    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      581    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
     1018    0.001    0.000    0.003    0.000 _compiler.py:401(_simple)
     2829    0.001    0.000    0.001    0.000 element.py:2763(descendants)
        1    0.001    0.001    0.013    0.013 packages.py:1(<module>)
      220    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      331    0.001    0.000    0.001    0.000 enum.py:825(__setattr__)
       77    0.001    0.000    0.009    0.000 css_parser.py:462(parse_attribute_selector)
     2673    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      192    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
     2207    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     2672    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
       21    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
     2523    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
      220    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      292    0.001    0.000    1.097    0.004 ssl.py:1129(read)
      222    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:416(__enter__)
     4131    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
        1    0.001    0.001    0.001    0.001 idnadata.py:1(<module>)
        1    0.001    0.001    0.135    0.135 dammit.py:1(<module>)
        1    0.001    0.001    0.001    0.001 retry.py:41(Retry)
       56    0.001    0.000    0.009    0.000 typing.py:753(Union)
     2563    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      873    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1546    0.001    0.000    0.001    0.000 element.py:2160(get)
      198    0.001    0.000    0.115    0.001 _compiler.py:576(_code)
        1    0.001    0.001    0.002    0.002 errors.py:1(<module>)
  225/183    0.001    0.000    0.001    0.000 _compiler.py:439(_get_literal_prefix)
      873    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       50    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
     1356    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     2391    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
      127    0.001    0.000    0.002    0.000 typing.py:260(_collect_type_parameters)
      279    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      198    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
     1356    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
  169/166    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      263    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
        6    0.001    0.000    0.007    0.001 typing.py:2998(__new__)
      136    0.001    0.000    0.001    0.000 css_parser.py:359(__init__)
      672    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      415    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      752    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      428    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      412    0.001    0.000    0.001    0.000 _parser.py:264(getwhile)
      216    0.001    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      258    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      551    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
      488    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      309    0.001    0.000    0.002    0.000 enum.py:695(__call__)
       56    0.001    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
       22    0.001    0.000    0.003    0.000 enum.py:498(__new__)
       24    0.001    0.000    0.001    0.000 enum.py:251(__set_name__)
  709/652    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
  136/131    0.001    0.000    0.006    0.000 css_parser.py:385(freeze)
       21    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      308    0.001    0.000    0.001    0.000 enum.py:78(_is_private)
      277    0.001    0.000    0.001    0.000 enum.py:37(_is_descriptor)
      169    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      220    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
       83    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      299    0.001    0.000    0.005    0.000 typing.py:164(_type_convert)
       65    0.001    0.000    0.001    0.000 functools.py:36(update_wrapper)
      360    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:632(cached)
      125    0.000    0.000    0.003    0.000 typing.py:1307(__init__)
      775    0.000    0.000    0.001    0.000 _parser.py:82(groups)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      292    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       39    0.000    0.000    0.164    0.004 response.py:1173(read_chunked)
       53    0.000    0.000    0.001    0.000 typing.py:3794(__getattr__)
      349    0.000    0.000    0.001    0.000 enum.py:47(_is_dunder)
      186    0.000    0.000    0.001    0.000 _parser.py:85(opengroup)
      122    0.000    0.000    0.004    0.000 _markupbase.py:165(parse_comment)
       48    0.000    0.000    0.006    0.000 typing.py:1634(__getitem__)
      309    0.000    0.000    0.001    0.000 enum.py:1152(__new__)
       55    0.000    0.000    0.001    0.000 enum.py:354(__setitem__)
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      222    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
      168    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
        1    0.000    0.000    1.687    1.687 financial.py:9(main)
    78/44    0.000    0.000    0.459    0.010 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      309    0.000    0.000    0.291    0.001 __init__.py:287(compile)
      217    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        3    0.000    0.000    0.058    0.019 utils.py:1(<module>)
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
      356    0.000    0.000    0.001    0.000 {built-in method from_bytes}
      526    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.021    0.011 abc.py:1(<module>)
       99    0.000    0.000    0.002    0.000 enum.py:1592(__or__)
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      198    0.000    0.000    0.001    0.000 _parser.py:230(__init__)
      292    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      263    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
       51    0.000    0.000    0.955    0.019 {method 'readline' of '_io.BufferedReader' objects}
      220    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
      396    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      136    0.000    0.000    0.004    0.000 css_types.py:203(__init__)
       38    0.000    0.000    0.149    0.004 response.py:1151(_handle_chunk)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
      130    0.000    0.000    0.001    0.000 typing.py:1358(__getattr__)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
